All installed programs list generated by choco-package-list-backup on 2022-02-15.


DisplayName                                                                   DisplayVersion      Publisher                                          
Teams Machine-Wide Installer                                                  1.3.0.12058         Microsoft Corporation                              
Microsoft NetStandard SDK                                                     15.0.51105          Microsoft Corporation                              
vs_communitysharedmsi                                                         17.1.32113          Microsoft Corporation                              
Pushbullet version 338                                                        338                 Pushbullet Inc                                     
Windows Mobile Extension SDK Contracts                                        10.1.19041.685      Microsoft Corporation                              
MSI Development Tools                                                         10.1.19041.685      Microsoft Corporation                              
Intel? Software Installer                                                     22.70.0.6           Intel Corporation                                  
Windows SDK                                                                   10.1.19041.685      Microsoft Corporation                              
Microsoft ASP.NET Core 3.1.22 Shared Framework (x86)                          3.1.22.21579        Microsoft Corporation                              
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660                 12.0.40660          Microsoft Corporation                              
Windows SDK Desktop Libs x86                                                  10.1.19041.685      Microsoft Corporation                              
Microsoft .NET SDK 5.0.403 (x64)                                              5.4.321.52708       Microsoft Corporation                              
Chocolatey GUI                                                                0.19.0.0            Chocolatey                                         
Microsoft TestPlatform SDK Local Feed                                         17.0.0.5175695      Microsoft                                          
vs_tipsmsi                                                                    17.1.32112          Microsoft Corporation                              
WinRT Intellisense UAP - Other Languages                                      10.1.19041.685      Microsoft Corporation                              
vs_minshellinteropmsi                                                         16.10.31306         Microsoft Corporation                              
Microsoft .NET Framework 4.6.1 Targeting Pack                                 4.6.01055           Microsoft Corporation                              
Windows SDK for Windows Store Apps Headers                                    10.1.19041.685      Microsoft Corporation                              
Office 16 Click-to-Run Extensibility Component                                16.0.13628.20274    Microsoft Corporation                              
Office 16 Click-to-Run Localization Component                                 16.0.13628.20274    Microsoft Corporation                              
vs_devenvsharedmsi                                                            17.1.32112          Microsoft Corporation                              
Windows SDK ARM Desktop Tools                                                 10.1.19041.685      Microsoft Corporation                              
Microsoft .NET Framework 4.8 SDK                                              4.8.03928           Microsoft Corporation                              
CGI Entrust G3 certificate authority                                          1.0.0.0             CGI                                                
Windows SDK Desktop Libs arm64                                                10.1.19041.685      Microsoft Corporation                              
vs_codecoveragemsi                                                            17.1.32112          Microsoft Corporation                              
Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support       15.0.27520          Microsoft Corporation                              
ExclaimOvertime                                                               1.0.0               Default Company Name                               
Microsoft ASP.NET Packages for MVC 4 - ENU                                    17.0.10526.0        Microsoft Corporation                              
icecap_collectionresources                                                    17.1.32113          Microsoft Corporation                              
vs_FileTracker_Singleton                                                      17.1.32113          Microsoft Corporation                              
Microsoft .NET Host FX Resolver - 5.0.13 (x86)                                40.52.30715         Microsoft Corporation                              
Microsoft Windows Desktop Runtime - 3.1.19 (x86)                              24.76.30416         Microsoft Corporation                              
Windows Desktop Extension SDK Contracts                                       10.1.19041.685      Microsoft Corporation                              
Microsoft .NET Core SDK 3.1.416 (x64)                                         3.1.416.15882       Microsoft Corporation                              
Microsoft .NET Framework 4.8 Targeting Pack (ENU)                             4.8.03761           Microsoft Corporation                              
Windows SDK EULA                                                              10.1.19041.685      Microsoft Corporations                             
Universal CRT Redistributable                                                 10.1.19041.685      Microsoft Corporation                              
Windows SDK for Windows Store Apps                                            10.1.19041.685      Microsoft Corporation                              
Microsoft Azure Information Protection                                        2.12.62.0           Microsoft Corporation                              
Cofense Reporter                                                              4.0.5               Cofense Inc.                                       
Microsoft .NET Runtime - 6.0.0 Rc 1 (x64)                                     6.0.0.30501         Microsoft Corporation                              
Universal General MIDI DLS Extension SDK                                      10.1.19041.685      Microsoft Corporation                              
NSwagStudio                                                                   13.15.8.0           Rico Suter                                         
Microsoft ASP.NET Diagnostic Pack for Visual Studio                           17.1.356.126        Microsoft Corporation                              
PowerToys (Preview) x64                                                       0.55.1              Microsoft Corporation                              
Visual Studio 2017 Isolated Shell for SSMS                                    15.0.28307.421      Microsoft Corporation                              
Adobe Refresh Manager                                                         1.8.0               Adobe Systems Incorporated                         
Adobe Acrobat Reader DC                                                       21.005.20060        Adobe Systems Incorporated                         
Microsoft Azure Information Protection Plugin For Adobe Acrobat Reader        21.005.20048        Adobe Systems Incorporated                         
vs_devenvmsi                                                                  16.0.28329          Microsoft Corporation                              
Customer Support                                                              1.0.0.0             Lexmark International, Inc.                        
WinRT Intellisense Desktop - Other Languages                                  10.1.19041.685      Microsoft Corporation                              
Tower                                                                         2.9.1.358           fournova software GmbH                             
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                           4.7.03062           Microsoft Corporation                              
Windows SDK Signing Tools                                                     10.1.19041.685      Microsoft Corporation                              
Juniper Installer Service                                                     8.0.32723           Juniper Networks                                   
vs_clickoncebootstrappermsi                                                   17.1.32113          Microsoft Corporation                              
ProSAFE Plus Utility                                                          2.7.8               NETGEAR                                            
Entity Framework 6.2.0 Tools  for Visual Studio 2022                          6.2.0.0             Microsoft Corporation                              
Microsoft .NET Framework 4.8 Targeting Pack                                   4.8.03761           Microsoft Corporation                              
WinRT Intellisense Desktop - en-us                                            10.1.19041.685      Microsoft Corporation                              
Universal CRT Tools x86                                                       10.1.19041.685      Microsoft Corporation                              
Microsoft Help Viewer 2.3                                                     2.3.28107           Microsoft Corporation                              
Microsoft ASP.NET Core 5.0.12 Shared Framework (x86)                          5.0.12.21524        Microsoft Corporation                              
Microsoft SQL Server Management Studio - 18.10                                15.0.18390.0        Microsoft Corporation                              
VS Immersive Activate Helper                                                  17.0.114.0          Microsoft Corporation                              
vs_communitymsires                                                            17.1.32113          Microsoft Corporation                              
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30708                14.30.30708         Microsoft Corporation                              
Luxafor                                                                       2.1.0.19            Greynut                                            
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU) 4.8.03761           Microsoft Corporation                              
Microsoft Windows Desktop Runtime - 3.1.21 (x86)                              24.84.30622         Microsoft Corporation                              
vcpp_crt.redist.clickonce                                                     14.31.31103         Microsoft Corporation                              
Windows SDK Desktop Headers x64                                               10.1.19041.685      Microsoft Corporation                              
Windows SDK Desktop Headers arm64                                             10.1.19041.685      Microsoft Corporation                              
IntelliTraceProfilerProxy                                                     15.0.21225.01       Microsoft Corporation                              
Pulse Application Launcher                                                    9.1.8575            Pulse Secure, LLC                                  
Microsoft Help Viewer 2.3                                                     2.3.31314           Microsoft Corporation                              
Lexmark V4 Printer Driver Configuration Utility                               1.0.0.0             Lexmark International, Inc.                        
Windows Team Extension SDK                                                    10.1.19041.685      Microsoft Corporation                              
Browser for SQL Server 2017                                                   14.0.1000.169       Microsoft Corporation                              
Microsoft .NET Framework 4 Multi-Targeting Pack                               4.0.30319           Microsoft Corporation                              
Update for  (KB2504637)                                                       1                   Microsoft Corporation                              
Microsoft Azure Information Protection                                        2.12.62.0           Microsoft Corporation                              
icecap_collectionresources                                                    16.10.31306         Microsoft Corporation                              
